model,ckpt_path,member_id,corruption,param,severity,accuracy
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,gaussian,sigma,0.1,0.7233268671193016
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,gaussian,sigma,0.2,0.7237310054962819
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,ch_dropout,p,0.0,0.720982864532816
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,ch_dropout,p,0.1,0.6795990947300355
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,ch_dropout,p,0.3,0.5881021661817006
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,ch_dropout,p,0.5,0.49062398965405757
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,time_mask,L,0.0,0.720982864532816
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,time_mask,L,5.0,0.7175881021661817
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,time_mask,L,10.0,0.7058680892337537
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,time_mask,L,20.0,0.6649692854833495
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,time_mask,L,40.0,0.5286938247655998
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,time_shift,k,0.0,0.720982864532816
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,time_shift,k,2.0,0.7269641125121241
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,time_shift,k,5.0,0.7124959586162302
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,time_shift,k,10.0,0.6997251859036534
federated_member2,lstm\federated\base_lstm_member2_federated.pt,2,time_shift,k,20.0,0.5137407048173295
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,clean,none,0.0,0.6785714285714286
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,gaussian,sigma,0.0,0.6785714285714286
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,gaussian,sigma,0.05,0.6780597625869832
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,gaussian,sigma,0.1,0.679287760949652
federated_member2,lstm\federated\base_lstm_member2_federated.pt,3,gaussian,sigma,0.2,0.6751944330740892
